2023-12-04 14:28:46,365 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: keepalive
2023-12-04 14:28:46,365 DEBUG   SenderThread:5320 [sender.py:send_request():406] send_request: stop_status
2023-12-04 14:28:47,494 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: status_report
2023-12-04 14:28:48,429 INFO    Thread-12 :5320 [dir_watcher.py:_on_file_modified():288] file/dir modified: c:\Users\ajmo276\Documents\GitHub\CTLiverSegmentation\wandb\run-20231204_142745-o8oui4th\files\config.yaml
2023-12-04 14:28:52,608 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: status_report
2023-12-04 14:28:57,647 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: status_report
2023-12-04 14:29:01,359 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: keepalive
2023-12-04 14:29:01,359 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: stop_status
2023-12-04 14:29:01,359 DEBUG   SenderThread:5320 [sender.py:send_request():406] send_request: stop_status
2023-12-04 14:29:03,425 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: status_report
2023-12-04 14:29:08,459 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: status_report
2023-12-04 14:29:13,491 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: status_report
2023-12-04 14:29:16,206 DEBUG   SenderThread:5320 [sender.py:send():379] send: stats
2023-12-04 14:29:16,371 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: keepalive
2023-12-04 14:29:16,372 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: stop_status
2023-12-04 14:29:16,372 DEBUG   SenderThread:5320 [sender.py:send_request():406] send_request: stop_status
2023-12-04 14:29:18,523 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: status_report
2023-12-04 14:29:23,559 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: status_report
2023-12-04 14:29:28,577 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: status_report
2023-12-04 14:29:31,387 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: keepalive
2023-12-04 14:29:31,387 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: stop_status
2023-12-04 14:29:31,388 DEBUG   SenderThread:5320 [sender.py:send_request():406] send_request: stop_status
2023-12-04 14:29:34,554 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: status_report
2023-12-04 14:29:39,587 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: status_report
2023-12-04 14:29:44,623 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: status_report
2023-12-04 14:29:46,207 DEBUG   SenderThread:5320 [sender.py:send():379] send: stats
2023-12-04 14:29:46,401 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: keepalive
2023-12-04 14:29:46,401 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: stop_status
2023-12-04 14:29:46,401 DEBUG   SenderThread:5320 [sender.py:send_request():406] send_request: stop_status
2023-12-04 14:29:50,535 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: status_report
2023-12-04 14:29:55,555 DEBUG   HandlerThread:5320 [handler.py:handle_request():144] handle_request: status_report
